state,county,year,days_with_aqi,good_days,moderate_days,usg_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,aqi_90th_percentile,median_aqi,days_co_main_pollutant,days_no2_main_pollutant,days_ozone_main_pollutant,days_pm25_main_pollutant,days_pm10_main_pollutant,bad_aqi_days,bad_aqi_day_pct,pct_days_co_main_pollutant,pct_days_no2_main_pollutant,pct_days_ozone_main_pollutant,pct_days_pm25_main_pollutant,pct_days_pm10_main_pollutant,geo_id,acs_name,population_25_plus,pct_high_school_or_higher,pct_bachelors_or_higher,population_16_plus,unemployment_rate,median_household_income,mean_household_income,per_capita_income,poverty_rate_all_people,pct_no_health_insurance,income_quartile,lower_income_group
California,Contra Costa,2023,365,173,190,2,0,0,0,110,64,51,0,1,94,270,0,2,0.547945205479452,0.0,0.273972602739726,25.753424657534246,73.97260273972603,0.0,0500000US06013,"Contra Costa County, California",816152,89.6,45.2,941806,6.5,127229,174872,62927,8.4,4.6,Q4 highest income,False
California,Contra Costa,2024,361,193,168,0,0,0,0,94,63,48,0,0,13,348,0,0,0.0,0.0,0.0,3.6011080332409975,96.39889196675901,0.0,0500000US06013,"Contra Costa County, California",816152,89.6,45.2,941806,6.5,127229,174872,62927,8.4,4.6,Q4 highest income,False
California,Del Norte,2020,292,193,90,4,3,2,0,245,61,42,0,0,0,292,0,9,3.0821917808219177,0.0,0.0,0.0,100.0,0.0,0500000US06015,"Del Norte County, California",19816,85.9,21.4,22236,6.4,67058,85665,31028,12.9,5.5,Q1 lowest income,True
California,Del Norte,2021,323,259,64,0,0,0,0,72,54,31,0,0,0,323,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0500000US06015,"Del Norte County, California",19816,85.9,21.4,22236,6.4,67058,85665,31028,12.9,5.5,Q1 lowest income,True
California,Del Norte,2022,344,299,45,0,0,0,0,74,52,29,0,0,0,344,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0500000US06015,"Del Norte County, California",19816,85.9,21.4,22236,6.4,67058,85665,31028,12.9,5.5,Q1 lowest income,True
California,Del Norte,2023,328,268,52,6,2,0,0,187,55,32,0,0,0,328,0,8,2.4390243902439024,0.0,0.0,0.0,100.0,0.0,0500000US06015,"Del Norte County, California",19816,85.9,21.4,22236,6.4,67058,85665,31028,12.9,5.5,Q1 lowest income,True
California,Del Norte,2024,289,232,55,2,0,0,0,125,54,32,0,0,0,289,0,2,0.6920415224913495,0.0,0.0,0.0,100.0,0.0,0500000US06015,"Del Norte County, California",19816,85.9,21.4,22236,6.4,67058,85665,31028,12.9,5.5,Q1 lowest income,True
California,El Dorado,2020,366,256,87,17,6,0,0,190,90,43,0,0,346,13,7,23,6.284153005464481,0.0,0.0,94.53551912568307,3.551912568306011,1.912568306010929,0500000US06017,"El Dorado County, California",142436,95.2,40.0,159979,4.5,108845,150262,59958,8.0,3.9,Q4 highest income,False
California,El Dorado,2021,365,247,96,16,4,1,1,375,93,43,0,0,349,9,7,22,6.027397260273973,0.0,0.0,95.61643835616438,2.4657534246575343,1.9178082191780823,0500000US06017,"El Dorado County, California",142436,95.2,40.0,159979,4.5,108845,150262,59958,8.0,3.9,Q4 highest income,False
California,El Dorado,2022,365,258,93,12,2,0,0,186,77,43,0,0,353,8,4,14,3.8356164383561646,0.0,0.0,96.7123287671233,2.191780821917808,1.095890410958904,0500000US06017,"El Dorado County, California",142436,95.2,40.0,159979,4.5,108845,150262,59958,8.0,3.9,Q4 highest income,False
California,El Dorado,2023,365,259,101,5,0,0,0,119,77,44,0,0,349,11,5,5,1.36986301369863,0.0,0.0,95.61643835616438,3.0136986301369864,1.36986301369863,0500000US06017,"El Dorado County, California",142436,95.2,40.0,159979,4.5,108845,150262,59958,8.0,3.9,Q4 highest income,False
California,El Dorado,2024,366,261,97,8,0,0,0,115,80,44,0,0,356,5,5,8,2.185792349726776,0.0,0.0,97.26775956284153,1.366120218579235,1.366120218579235,0500000US06017,"El Dorado County, California",142436,95.2,40.0,159979,4.5,108845,150262,59958,8.0,3.9,Q4 highest income,False
California,Fresno,2020,366,75,192,59,31,8,1,346,154,76,0,0,149,204,13,99,27.049180327868854,0.0,0.0,40.7103825136612,55.73770491803278,3.551912568306011,0500000US06019,"Fresno County, California",636203,79.1,24.3,768405,8.7,74201,100639,32963,18.3,6.7,Q2,True
California,Fresno,2021,365,62,221,63,17,2,0,278,130,68,0,0,146,209,10,82,22.465753424657535,0.0,0.0,40.0,57.26027397260274,2.73972602739726,0500000US06019,"Fresno County, California",636203,79.1,24.3,768405,8.7,74201,100639,32963,18.3,6.7,Q2,True
California,Fresno,2022,365,78,217,67,3,0,0,159,115,71,0,0,192,160,13,70,19.17808219178082,0.0,0.0,52.602739726027394,43.83561643835616,3.5616438356164384,0500000US06019,"Fresno County, California",636203,79.1,24.3,768405,8.7,74201,100639,32963,18.3,6.7,Q2,True
California,Fresno,2023,365,97,210,55,3,0,0,156,112,64,0,0,208,147,10,58,15.890410958904111,0.0,0.0,56.986301369863014,40.273972602739725,2.73972602739726,0500000US06019,"Fresno County, California",636203,79.1,24.3,768405,8.7,74201,100639,32963,18.3,6.7,Q2,True
