socio_variable,air_variable,n,pearson_r,pearson_p,spearman_r,spearman_p,year
poverty_rate_all_people,pct_days_ozone_main_pollutant,53,-0.08191300469138839,0.5598278844928769,-0.058280229514301875,0.6784919212708518,2021
pct_bachelors_or_higher,pct_days_pm25_main_pollutant,53,0.07582110156043155,0.589471901924183,0.09087792944678559,0.5175241907761908,2021
mean_household_income,pct_days_pm25_main_pollutant,53,0.07388469411417065,0.5990395761040165,0.10109278805419902,0.47136145986505734,2021
median_household_income,pct_days_pm25_main_pollutant,53,0.057639052974135394,0.6818397994623688,0.11677890474868781,0.4049882472791955,2021
per_capita_income,pct_days_pm25_main_pollutant,53,0.048385518138964974,0.7308056934456547,0.05665551145438756,0.686987135910164,2021
pct_high_school_or_higher,max_aqi,53,0.03782341581956178,0.788015236981866,-0.01649359817514963,0.9066858016627592,2021
poverty_rate_all_people,pct_days_pm25_main_pollutant,53,0.03430098652397777,0.8073608242125713,-0.04732713605885285,0.7364790687712761,2021
unemployment_rate,pct_days_pm25_main_pollutant,53,0.03115607773370869,0.8247305379876486,0.09025776598189837,0.5203980514476161,2021
poverty_rate_all_people,max_aqi,53,0.02461952749267983,0.8610910541526037,0.31966287629830376,0.01963371637619107,2021
per_capita_income,pct_days_ozone_main_pollutant,53,0.017982911993915454,0.8983024365327361,0.10303458363847984,0.4628426726012771,2021
pct_bachelors_or_higher,pct_days_ozone_main_pollutant,53,-0.010271942203690605,0.9418064502763952,0.057369281661034686,0.6832502228210257,2021
mean_household_income,pct_days_ozone_main_pollutant,53,-0.007690713202292822,0.9564133726746971,0.04222199963580759,0.7640359628187393,2021
median_household_income,pct_days_ozone_main_pollutant,53,-0.0023214505564663587,0.9868375505565061,0.008589575857141372,0.9513249409750844,2021
pct_high_school_or_higher,median_aqi,52,-0.44128478881442657,0.0010579866790991117,-0.3595386244579582,0.008849304002848035,2022
pct_no_health_insurance,bad_aqi_day_pct,52,0.3754782552074415,0.006089101181658431,0.35588045729215434,0.009617574387958204,2022
pct_high_school_or_higher,aqi_90th_percentile,52,-0.3632170646453408,0.008130945642829592,-0.2508914668495375,0.07280679392884418,2022
pct_high_school_or_higher,bad_aqi_day_pct,52,-0.36070397606228516,0.008615998091130065,-0.15423422126641465,0.2749602874241379,2022
pct_no_health_insurance,aqi_90th_percentile,52,0.32826320336705433,0.017508770080302875,0.29984193473672976,0.03080442410054861,2022
per_capita_income,bad_aqi_day_pct,52,-0.320859578670362,0.020384343403641418,-0.34064365898594134,0.013469775815988341,2022
per_capita_income,median_aqi,52,-0.31947400135298365,0.020964627563271665,-0.29963483179356776,0.030925827417004843,2022
pct_no_health_insurance,median_aqi,52,0.315552189750146,0.02268326608550637,0.31345516789889033,0.023649940624116076,2022
per_capita_income,aqi_90th_percentile,52,-0.3155057336119106,0.022704314947431425,-0.30862511687451766,0.026008959034576572,2022
unemployment_rate,max_aqi,52,-0.2835160776217929,0.04167346361774461,0.05679293394188118,0.689224858450844,2022
pct_bachelors_or_higher,bad_aqi_day_pct,52,-0.2715118213148091,0.05152845974809558,-0.25312531643940034,0.07021014855684564,2022
unemployment_rate,median_aqi,52,0.2684283771470513,0.05434381102679625,0.2850942050122139,0.04050151167207236,2022
pct_no_health_insurance,max_aqi,52,0.2594211215350135,0.06328661462277013,0.2675740472689351,0.05514549243747432,2022
poverty_rate_all_people,bad_aqi_day_pct,52,0.23968884580390873,0.08699777809906419,0.23286595964711918,0.09664790951084977,2022
pct_bachelors_or_higher,aqi_90th_percentile,52,-0.23758189330297544,0.08989368066348104,-0.19602024402713455,0.16370627660058495,2022
pct_bachelors_or_higher,median_aqi,52,-0.23438649140708542,0.09442851645770592,-0.19579617510580777,0.1641979976555827,2022
mean_household_income,bad_aqi_day_pct,52,-0.23290525054825623,0.09659005520734726,-0.26713611698506534,0.05556012520529837,2022
poverty_rate_all_people,median_aqi,52,0.2258720483503392,0.10738120596630993,0.2152104636238545,0.12547418378070382,2022
